                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1034,                0.63709,                 1.1217,                0.90613,                0.81789,                0.88891,                0.54077,                 1.2853,                0.67783,                  1.235,              0.0003268,              0.0003268,              0.0003268
                     36,                  1.109,                0.63563,                 1.1195,                0.91959,                0.80564,                0.88554,                0.54578,                 1.2678,                0.64763,                 1.2333,               0.000307,               0.000307,               0.000307
                     37,                 1.1005,                0.63736,                 1.1232,                  0.894,                0.81256,                0.88326,                0.53818,                 1.2977,                0.66978,                 1.2471,              0.0002872,              0.0002872,              0.0002872
                     38,                 1.0958,                0.62701,                 1.1272,                0.87554,                0.83021,                0.88684,                0.54142,                 1.2936,                0.65721,                 1.2455,              0.0002674,              0.0002674,              0.0002674
                     39,                 1.0815,                0.60409,                 1.1101,                0.88496,                0.83018,                0.88624,                0.54407,                 1.2848,                0.64816,                 1.2312,              0.0002476,              0.0002476,              0.0002476
                     40,                 1.0747,                0.60973,                 1.1086,                 0.9118,                0.82446,                0.88558,                0.53523,                 1.3157,                0.65076,                 1.2505,              0.0002278,              0.0002278,              0.0002278
                     41,                 1.0758,                0.58124,                 1.1104,                0.89645,                0.80977,                0.87914,                0.53852,                  1.314,                0.66618,                 1.2541,               0.000208,               0.000208,               0.000208
                     42,                 1.0511,                0.55264,                 1.0909,                0.89231,                0.82546,                0.88679,                0.54981,                 1.2905,                0.64474,                 1.2471,              0.0001882,              0.0001882,              0.0001882
                     43,                 1.0295,                0.54176,                 1.0873,                0.88221,                0.83889,                0.88894,                0.55392,                 1.2842,                0.63824,                  1.245,              0.0001684,              0.0001684,              0.0001684
                     44,                 1.0207,                0.53509,                 1.0805,                0.88729,                0.82558,                0.88814,                0.54716,                 1.3059,                0.65485,                 1.2476,              0.0001486,              0.0001486,              0.0001486
                     45,                  1.005,                0.52179,                 1.0758,                0.88981,                0.81912,                 0.8886,                0.54916,                  1.283,                0.63225,                 1.2366,              0.0001288,              0.0001288,              0.0001288
                     46,                0.99944,                0.52251,                 1.0661,                0.89793,                0.81753,                0.88682,                0.55168,                 1.2738,                0.63518,                 1.2386,               0.000109,               0.000109,               0.000109
                     47,                0.98145,                0.50966,                 1.0569,                0.87714,                0.84364,                 0.8875,                0.55413,                 1.2715,                0.62259,                 1.2321,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.98294,                0.51379,                 1.0597,                0.88751,                0.82567,                0.88808,                0.55123,                 1.2734,                0.63457,                 1.2398,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.98333,                0.51174,                 1.0666,                0.87734,                0.84084,                0.88971,                0.55327,                  1.276,                0.63053,                 1.2431,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.97473,                0.50572,                 1.0636,                0.88442,                0.83977,                0.88893,                0.55243,                  1.272,                0.62481,                 1.2385,               2.98e-05,               2.98e-05,               2.98e-05
